participant_id,gender,CET4,CET6,age_group,short_ellipsis1,long_ellipsis1,long_ellipsis2,long_full1,long_full2,long_full3,long_ellipsis3,short_ellipsis2,long_full4,long_ellipsis4,short_full1,short_full2,short_ellipsis3,short_ellipsis4,short_ellipsis5,long_ellipsis5,short_full3,short_full4,long_ellipsis6,short_full5,short_ellipsis6,short_ellipsis7,long_full5,long_ellipsis7,long_full6,short_ellipsis8,short_full6,long_ellipsis8,long_full7,long_full8,long_full,long_ellipsis,short_full,short_ellipsis,long_full-short_full
50,1,524,510,21-23,7,6,6,7,7,2,6,6,6,5,6,7,7,6,6,7,7,6,7,7,7,5,5,5,5,6,7,6,7,7,3.75,6,6.66666666666667,6.25,2.91666666666667
59,0,468,441,21-23,1,1,5,1,1,3,2,7,3,7,6,7,3,3,7,7,6,7,1,7,2,3,7,6,6,7,6,7,7,6,5,4.5,6.5,4.125,1.5
4,0,442,,18-20,6,6,7,7,7,7,4,4,7,5,7,3,1,7,4,7,7,7,5,6,7,7,7,1,7,7,7,7,6,6,4.875,5.25,6.16666666666667,5.375,1.29166666666667
67,0,520,430,21-23,5,5,4,6,6,2,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,2,6,6,6,6,3,3,4.75,5.125,6,5.75,1.25
21,1,440,,18-20,5,5,7,5,7,7,7,7,7,7,7,7,5,5,6,7,6,5,5,5,2,6,7,2,5,7,5,5,5,7,5.75,5.625,5.83333333333333,5.375,0.083333333333333
68,0,449,,18-20,2,2,3,3,3,1,6,2,4,7,6,6,6,6,7,2,5,6,6,6,6,6,7,2,6,6,6,5,6,6,5.125,4.125,5.83333333333333,5.125,0.708333333333333
7,0,438,420,21-23,4,4,4,5,5,5,6,4,5,4,5,5,5,5,4,6,6,7,5,5,6,5,6,5,5,5,5,5,6,6,5.375,4.875,5.5,4.75,0.125
3,0,428,,24+,1,2,5,3,5,3,5,4,5,4,3,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,4,6,3.75,4.75,5.5,5.125,1.75
41,0,505,,21-23,5,6,2,1,3,4,3,1,7,7,7,4,4,3,3,4,4,6,6,7,5,7,6,3,6,5,4,5,4,3,4.75,4.5,5.33333333333333,4.125,0.583333333333333
65,1,427,451,18-20,6,6,3,2,3,4,6,6,6,6,5,3,5,6,6,6,6,5,5,7,6,5,6,6,3,6,6,6,3,3,4,5.5,5.33333333333333,5.75,1.33333333333333
36,0,510,530,18-20,6,5,5,4,5,3,6,7,5,6,5,5,5,5,6,5,6,6,6,6,5,5,5,5,5,6,4,6,4,3,3.625,5.5,5.33333333333333,5.625,1.70833333333333
44,1,425,344,21-23,4,3,5,5,5,5,2,2,5,6,6,4,3,5,5,6,6,4,4,6,2,2,2,3,2,5,5,5,3,6,4.875,4.25,5.16666666666667,3.5,0.291666666666667
16,1,567,,18-20,2,2,2,2,2,2,5,5,2,3,5,6,3,3,3,5,5,5,5,5,3,6,3,2,3,5,5,5,3,3,2.5,3.625,5.16666666666667,3.75,2.66666666666667
28,1,436,376,21-23,2,6,3,5,4,5,5,5,4,4,4,5,5,4,4,5,5,5,5,6,5,3,4,5,5,5,5,5,5,4,4.75,4.75,5,4.125,0.25
2,1,500,480,24+,5,4,5,5,6,5,4,5,4,5,5,5,5,5,4,5,5,5,6,5,5,6,5,6,6,6,5,6,5,5,4.625,5.125,5,5.125,0.375
42,0,486,,24+,5,5,3,6,6,6,5,6,4,5,5,6,5,6,6,5,5,5,6,6,5,5,6,5,6,4,3,5,4,4,4.375,4.875,5,5.25,0.625
