subject,lextale,working_memory,trial_id,type,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20,word21,word22,word23,word24,RT1,RT2,RT3,RT4,RT5,RT6,RT7,RT8,RT9,RT10,RT11,RT12,RT13,RT14,RT15,RT16,RT17,RT18,RT19,RT20,RT21,RT22,RT23,RT24,Long_LEN,Long_VP1RT,Long_VP2RT,Short_LEN,Short_VP1RT,Short_VP2RT,VP_LEN,VP1_RT(ms),VP2_RT(ms),judgment_rt,response,is_correct,sentence,question
1,53.75,15.5,7,short,Anne,gathered,mushrooms,and,Bob,gathered,mushrooms,too,whereas,Cindy,flew,a,kite,,,,,,,,,,,,0.7514,0.6927,6.3918,0.7535,1.1942,1.537,1.0805,0.8038,0.9066,0.9512,0.8371,0.714,0.8359,,,,,,,,,,,,,,,17,7.0845,2.6175,17,7084.5,2617.5,2.6978,N,1,Anne?gathered mushrooms and?Bob?gathered mushrooms too whereas?Cindy?flew?a kite.,Bob flew a kite.
1,53.75,15.5,8,short,Anne,produced,music,and,Bob,produced,music,too,whereas,Cindy,adjusted,the,microphone,,,,,,,,,,,,1.5956,1.2179,1.1755,0.7441,1.0806,0.8516,0.7192,0.7785,0.8652,1.068,1.1842,0.5029,1.5444,,,,,,,,,,,,,,,13,2.3934,1.5708,13,2393.4,1570.8,2.8088,Y,1,Anne?produced music and?Bob?produced music too whereas?Cindy?adjusted the microphone.,Anne produced music.
1,53.75,15.5,14,short,Anne,skipped,stones,and,Bob,skipped,stones,too,while,Cindy,was,playing,tag,,,,,,,,,,,,3.2252,1.6281,3.3919,3.8783,1.2712,1.1769,0.9437,1.2074,1.4137,2.0591,0.983,1.5101,0.9274,,,,,,,,,,,,,,,13,5.02,2.1206,13,5020,2120.6,1.9134,N,1,Anne?skipped stones and?Bob?skipped stones too while?Cindy?was playing tag.,Anne was playing tag.
1,53.75,15.5,20,short,Anne,browsed,websites,and,Bob,browsed,websites,too,whereas,Cindy,washed,her,clothes,,,,,,,,,,,,0.7927,1.8468,1.6143,0.8562,1.0219,2.1462,1.2253,1.1434,0.7504,0.7762,1.0674,0.9476,1.6244,,,,,,,,,,,,,,,15,3.4611,3.3715,15,3461.1,3371.5,2.0712,N,1,Anne?browsed websites and?Bob?browsed websites too whereas?Cindy?washed?her?clothes.,Anne washed clothes.
1,53.75,15.5,23,short,Anne,climbed,mountains,and,Bob,climbed,mountains,too,whereas,Cindy,was,very,afraid,,,,,,,,,,,,0.7778,1.6054,2.5467,0.5213,0.5481,0.62,0.5788,0.7527,1.1524,1.3153,0.6752,0.6642,0.7951,,,,,,,,,,,,,,,16,4.1521,1.1988,16,4152.1,1198.8,4.7388,Y,1,Anne?climbed mountains and?Bob?climbed mountains too whereas?Cindy?was very afraid.,Bob climbed mountains.
1,53.75,15.5,25,short,Anne,celebrated,success,and,Bob,celebrated,success,too,while,Cindy,finished,the,report,,,,,,,,,,,,2.1893,1.1226,1.0618,0.528,0.5525,0.5459,0.7881,1.2743,0.5342,0.6873,0.8823,0.5019,1.4486,,,,,,,,,,,,,,,17,2.1844,1.334,17,2184.4,1334,2.0595,Y,1,Anne?celebrated success and?Bob?celebrated success too while?Cindy?finished the report.,Bob celebrated success.
1,53.75,15.5,26,short,Anne,did,experiments,and,Bob,did,experiments,too,while,Cindy,asked,for,leave,,,,,,,,,,,,0.8839,0.6773,1.7438,0.4953,0.5078,0.6081,1.7742,1.0837,0.695,0.5921,0.7681,0.4558,1.0537,,,,,,,,,,,,,,,14,2.4211,2.3823,14,2421.1,2382.3,2.7265,Y,1,Anne?did experiments and?Bob?did experiments too while?Cindy?asked for leave.,Cindy asked for leave.
1,53.75,15.5,31,short,Anne,collected,firewood,and,Bob,collected,firewood,too,whereas,Cindy,pitched,the,tent,,,,,,,,,,,,0.6033,0.9393,1.9317,0.7159,0.6528,0.7626,1.6182,0.6627,0.6512,0.7923,1.6243,1.4517,1.4726,,,,,,,,,,,,,,,17,2.871,2.3808,17,2871,2380.8,1.712,N,1,Anne?collected firewood and?Bob?collected firewood too whereas?Cindy?pitched the tent.,Anne pitched the tent.
1,53.75,15.5,35,short,Anne,sold,fruits,and,Bob,sold,fruits,too,while,Cindy,handed,out,booklets,,,,,,,,,,,,1.4099,1.4828,1.2107,0.5672,0.5685,0.4812,0.5483,0.5001,0.7515,0.8004,2.1427,0.7676,2.3506,,,,,,,,,,,,,,,10,2.6935,1.0295,10,2693.5,1029.5,2.0821,Y,1,Anne?sold?fruits?and?Bob?sold?fruits?too while?Cindy?handed out booklets.,Anne sold fruits.
1,53.75,15.5,41,short,Anne,corrected,papers,and,Bob,corrected,papers,too,whereas,Cindy,prepared,English,lessons,,,,,,,,,,,,0.6062,1.5175,0.9206,0.8487,0.7705,0.8282,0.7831,0.6362,0.6856,0.6728,0.6943,0.6235,0.6859,,,,,,,,,,,,,,,15,2.4381,1.6113,15,2438.1,1611.3,2.4733,Y,1,Anne?corrected papers and?Bob?corrected papers too whereas?Cindy?prepared English lessons.,Cindy prepared English lessons.
